Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;14;Heuvel;5;Caruso Damiano;Bardet Romain;Pasqualon Andrea;Kung Stefan;Gaudu David;;
;Tour de France;2018;14;Heuvel;6;Geschke Simon;Landa Mikel;Van Avermaet Greg;;;;
;Tour de France;2018;14;Heuvel;7;Edet Nicolas;Kruijswijk Steven;Alaphilippe Julian;;;;
;Tour de France;2018;14;Heuvel;8;Calmejane Lilian;Quintana Nairo;Gilbert Philippe;;;;
;Tour de France;2018;14;Heuvel;9;Impey Daryl;Fuglsang Jakob;Colbrelli Sonny;;;;
;Tour de France;2018;14;Heuvel;10;De Gendt Thomas;Martin Dan;De Gendt Thomas;;;;
;Tour de France;2018;14;Heuvel;11;Rolland Pierre;Valverde Alejandro;;;;;
;Tour de France;2018;14;Heuvel;12;Martinez Daniel Felipe;Jungels Bob;;;;;
;Tour de France;2018;14;Heuvel;13;Perez Anthony;Zakarin Ilnur;;;;;
;Tour de France;2018;14;Heuvel;14;Izagirre Gorka;Nieve Mikel;;;;;
;Tour de France;2018;14;Heuvel;15;Gilbert Philippe;Latour Pierre;;;;;
;Tour de France;2018;14;Heuvel;16;Degand Thomas;Martin Guillame;;;;;
;Tour de France;2018;14;Heuvel;17;Kung Stefan;Caruso Damiano;;;;;
;Tour de France;2018;14;Heuvel;18;Amador Andrey;Kangert Tanel;;;;;
;Tour de France;2018;14;Heuvel;19;Slagter Tom-Jelte;Bernal Egan;;;;;
;Tour de France;2018;14;Heuvel;20;Van Avermaet Greg;Barguil Warren;;;;;
;Tour de France;2018;15;Berg;1;Cort Magnus;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;5;
;Tour de France;2018;15;Berg;2;Izagirre Ion;Froome Chris;Kristoff Alexander;Martin Guillaume;Barguil Warren;;
;Tour de France;2018;15;Berg;3;Mollema Bauke;Dumoulin Tom;Demare Arnaud;Bernal Egan;Pauwels Serge;;
;Tour de France;2018;15;Berg;4;Valgren Michael;Roglic Primoz;Degenkolb John;Martinez Daniel Felipe;Majka Rafal;;
;Tour de France;2018;15;Berg;5;Skujins Toms;Bardet Romain;Van Avermaet Greg;Gaudu David;;;
;Tour de France;2018;15;Berg;6;Pozzovivo Domenico;Landa Mikel;Pasqualon Andrea;;;;
;Tour de France;2018;15;Berg;7;Calmejane Lilian;Kruijswijk Steven;Alaphilippe Julian;;;;
;Tour de France;2018;15;Berg;8;Majka Rafal;Quintana Nairo;Gilbert Philippe;;;;
;Tour de France;2018;15;Berg;9;Arndt Nikias;Fuglsang Jakob;Colbrelli Sonny;;;;
;Tour de France;2018;15;Berg;10;Bernard Julien;Martin Dan;De Gendt Thomas;;;;
;Tour de France;2018;15;Berg;11;Van Avermaet Greg;Valverde Alejandro;;;;;
;Tour de France;2018;15;Berg;12;Terpstra Niki;Jungels Bob;;;;;
;Tour de France;2018;15;Berg;13;Bennati Daniele;Zakarin Ilnur;;;;;
;Tour de France;2018;15;Berg;14;Grellier Fabien;Latour Pierre;;;;;
;Tour de France;2018;15;Berg;15;Poljanski Pawel;Van Avermaet Greg;;;;;
;Tour de France;2018;15;Berg;16;Moinard Amael;Nieve Mikel;;;;;
;Tour de France;2018;15;Berg;17;Impey Daryl;Martin Guillame;;;;;
;Tour de France;2018;15;Berg;18;Sicard Romain;Caruso Damiano;;;;;
;Tour de France;2018;15;Berg;19;Martinez Daniel Felipe;Kangert Tanel;;;;;
;Tour de France;2018;15;Berg;20;Herrada Jesus;Calmejane Lilian;;;;;
;Tour de France;2018;16;Berg;1;Alaphilippe Julian;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;82;108
;Tour de France;2018;16;Berg;2;Izagirre Gorka;Froome Chris;Kristoff Alexander;Martin Guillaume;Barguil Warren;;54
;Tour de France;2018;16;Berg;3;Yates Adam;Dumoulin Tom;Demare Arnaud;Bernal Egan;Thomas Geraint;;
;Tour de France;2018;16;Berg;4;Mollema Bauke;Roglic Primoz;Van Avermaet Greg;Martinez Daniel Felipe;Mollema Bauke;;
;Tour de France;2018;16;Berg;5;Pozzovivo Domenico;Bardet Romain;Degenkolb John;Kragh Andersen Soren;Majka Rafal;;
;Tour de France;2018;16;Berg;6;Gesink Robert;Landa Mikel;Alaphilippe Julian;;;;
;Tour de France;2018;16;Berg;7;Valgren Michael;Kruijswijk Steven;Pasqualon Andrea;;;;
;Tour de France;2018;16;Berg;8;Muhlberger Gregor;Quintana Nairo;Gilbert Philippe;;;;
;Tour de France;2018;16;Berg;9;Soler Marc;Fuglsang Jakob;Colbrelli Sonny;;;;
;Tour de France;2018;16;Berg;10;Latour Pierre;Martin Dan;De Gendt Thomas;;;;
;Tour de France;2018;16;Berg;11;Caruso Damiano;Valverde Alejandro;;;;;
;Tour de France;2018;16;Berg;12;Martin Guillaume;Jungels Bob;;;;;
;Tour de France;2018;16;Berg;13;Vanendert Jelle;Latour Pierre;;;;;
;Tour de France;2018;16;Berg;14;Molard Rudy;Zakarin Ilnur;;;;;
;Tour de France;2018;16;Berg;15;Amador Andrey;Martin Guillame;;;;;
;Tour de France;2018;16;Berg;16;Izagirre Ion;Caruso Damiano;;;;;
;Tour de France;2018;16;Berg;17;Van Avermaet Greg;Van Avermaet Greg;;;;;
;Tour de France;2018;16;Berg;18;Bernard Julien;Mollema Bauke;;;;;
;Tour de France;2018;16;Berg;19;Barguil Warren;Nieve Mikel;;;;;
;Tour de France;2018;16;Berg;20;Durasek Kristijan;Pozzovivo Domenico;;;;;
;Tour de France;2018;17;Berg;1;Quintana Nairo;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;;84
;Tour de France;2018;17;Berg;2;Martin Dan;Dumoulin Tom;Kristoff Alexander;Martin Guillaume;Barguil Warren;;
;Tour de France;2018;17;Berg;3;Thomas Geraint;Froome Chris;Alaphilippe Julian;Bernal Egan;Thomas Geraint;;
;Tour de France;2018;17;Berg;4;Roglic Primoz;Roglic Primoz;Demare Arnaud;Martinez Daniel Felipe;Quintana Nairo;;
;Tour de France;2018;17;Berg;5;Dumoulin Tom;Quintana Nairo;Van Avermaet Greg;Gaudu David;Dumoulin Tom;;
;Tour de France;2018;17;Berg;6;Kruijswijk Steven;Kruijswijk Steven;Degenkolb John;;;;
;Tour de France;2018;17;Berg;7;Bernal Egan;Landa Mikel;Pasqualon Andrea;;;;
;Tour de France;2018;17;Berg;8;Froome Chris;Bardet Romain;Martin Dan;;;;
;Tour de France;2018;17;Berg;9;Landa Mikel;Martin Dan;Valverde Alejandro;;;;
;Tour de France;2018;17;Berg;10;Zakarin Ilnur;Fuglsang Jakob;Thomas Geraint;;;;
;Tour de France;2018;17;Berg;11;Majka Rafal;Valverde Alejandro;;;;;
;Tour de France;2018;17;Berg;12;Valverde Alejandro;Zakarin Ilnur;;;;;
;Tour de France;2018;17;Berg;13;Bardet Romain;Jungels Bob;;;;;
;Tour de France;2018;17;Berg;14;Gaudu David;Latour Pierre;;;;;
;Tour de France;2018;17;Berg;15;Fuglsang Jakob;Martin Guillame;;;;;
;Tour de France;2018;17;Berg;16;Barguil Warren;Bernal Egan;;;;;
;Tour de France;2018;17;Berg;17;Jungels Bob;Barguil Warren;;;;;
;Tour de France;2018;17;Berg;18;Hansen Jesper;Mollema Bauke;;;;;
;Tour de France;2018;17;Berg;19;Poels Wout;Kangert Tanel;;;;;
;Tour de France;2018;17;Berg;20;Kangert Tanel;Caruso Damiano;;;;;
;Tour de France;2018;18;Vlak;1;Demare Arnaud;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;;
;Tour de France;2018;18;Vlak;2;Laporte Christophe;Dumoulin Tom;Kristoff Alexander;Martin Guillaume;Barguil Warren;;
;Tour de France;2018;18;Vlak;3;Kristoff Alexander;Froome Chris;Demare Arnaud;Bernal Egan;Thomas Geraint;;
;Tour de France;2018;18;Vlak;4;Boasson Hagen Edwald;Roglic Primoz;Degenkolb John;Martinez Daniel Felipe;Quintana Nairo;;
;Tour de France;2018;18;Vlak;5;Colbrelli Sonny;Quintana Nairo;Alaphilippe Julian;Gaudu David;Dumoulin Tom;;
;Tour de France;2018;18;Vlak;6;Richeze Maximiliano;Kruijswijk Steven;Van Avermaet Greg;;;;
;Tour de France;2018;18;Vlak;7;Degenkolb John;Landa Mikel;Pasqualon Andrea;;;;
;Tour de France;2018;18;Vlak;8;Sagan Peter;Bardet Romain;Colbrelli Sonny;;;;
;Tour de France;2018;18;Vlak;9;Phinney Taylor;Martin Dan;Martin Dan;;;;
;Tour de France;2018;18;Vlak;10;Dupont Timothy;Fuglsang Jakob;Laporte Christophe;;;;
;Tour de France;2018;18;Vlak;11;Lampaert Yves;Valverde Alejandro;;;;;
;Tour de France;2018;18;Vlak;12;De Buyst Jasper;Zakarin Ilnur;;;;;
;Tour de France;2018;18;Vlak;13;Naesen Oliver;Jungels Bob;;;;;
;Tour de France;2018;18;Vlak;14;Janse van Rensburg Reinardt;Latour Pierre;;;;;
;Tour de France;2018;18;Vlak;15;Guarnieri Jacopo;Martin Guillame;;;;;
;Tour de France;2018;18;Vlak;16;Hepburn Michael;Bernal Egan;;;;;
;Tour de France;2018;18;Vlak;17;Pasqualon Andrea;Barguil Warren;;;;;
;Tour de France;2018;18;Vlak;18;Calmejane Lilian;Mollema Bauke;;;;;
;Tour de France;2018;18;Vlak;19;Politt Nils;Kangert Tanel;;;;;
;Tour de France;2018;18;Vlak;20;Cort Magnus;Van Avermaet Greg;;;;;
;Tour de France;2018;19;Berg;1;Roglic Primoz;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;144;
;Tour de France;2018;19;Berg;2;Thomas Geraint;Dumoulin Tom;Kristoff Alexander;Bernal Egan;Barguil Warren;;
;Tour de France;2018;19;Berg;3;Bardet Romain;Roglic Primoz;Demare Arnaud;Martin Guillaume;Majka Rafal;;
;Tour de France;2018;19;Berg;4;Martin Dan;Froome Chris;Degenkolb John;Gaudu David;Thomas Geraint;;
;Tour de France;2018;19;Berg;5;Majka Rafal;Kruijswijk Steven;Alaphilippe Julian;Tolhoek Antwan;Dumoulin Tom;;
;Tour de France;2018;19;Berg;6;Dumoulin Tom;Landa Mikel;Van Avermaet Greg;;;;
;Tour de France;2018;19;Berg;7;Landa Mikel;Bardet Romain;Pasqualon Andrea;;;;
;Tour de France;2018;19;Berg;8;Froome Chris;Martin Dan;Martin Dan;;;;
;Tour de France;2018;19;Berg;9;Kruijswijk Steven;Quintana Nairo;Thomas Geraint;;;;
;Tour de France;2018;19;Berg;10;Zakarin Ilnur;Zakarin Ilnur;Colbrelli Sonny;;;;
;Tour de France;2018;19;Berg;11;Izagirre Gorka;Jungels Bob;;;;;
;Tour de France;2018;19;Berg;12;Jungels Bob;Fuglsang Jakob;;;;;
;Tour de France;2018;19;Berg;13;Bernal Egan;Latour Pierre;;;;;
;Tour de France;2018;19;Berg;14;Pozzovivo Domenico;Valverde Alejandro;;;;;
;Tour de France;2018;19;Berg;15;Izagirre Ion;Bernal Egan;;;;;
;Tour de France;2018;19;Berg;16;Kangert Tanel;Kangert Tanel;;;;;
;Tour de France;2018;19;Berg;17;Latour Pierre;Barguil Warren;;;;;
;Tour de France;2018;19;Berg;18;Tolhoek Antwan;Pozzovivo Domenico;;;;;
;Tour de France;2018;19;Berg;19;Quintana Nairo;Majka Rafal;;;;;
;Tour de France;2018;19;Berg;20;Fuglsang Jakob;Martin Guillame;;;;;
;Tour de France;2018;20;TIjdrit Individueel;1;Dumoulin Tom;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;;
;Tour de France;2018;20;TIjdrit Individueel;2;Froome Chris;Dumoulin Tom;Kristoff Alexander;Bernal Egan;Barguil Warren;;
;Tour de France;2018;20;TIjdrit Individueel;3;Thomas Geraint;Froome Chris;Demare Arnaud;Martin Guillaume;Majka Rafal;;
;Tour de France;2018;20;TIjdrit Individueel;4;Kwiatkowski Michael;Roglic Primoz;Degenkolb John;Gaudu David;Thomas Geraint;;
;Tour de France;2018;20;TIjdrit Individueel;5;Kragh Andersen Soren;Kruijswijk Steven;Alaphilippe Julian;Martinez Daniel Felipe;Dumoulin Tom;;
;Tour de France;2018;20;TIjdrit Individueel;6;Jungels Bob;Bardet Romain;Van Avermaet Greg;;;;
;Tour de France;2018;20;TIjdrit Individueel;7;Zakarin Ilnur;Landa Mikel;Thomas Geraint;;;;
;Tour de France;2018;20;TIjdrit Individueel;8;Roglic Primoz;Martin Dan;Pasqualon Andrea;;;;
;Tour de France;2018;20;TIjdrit Individueel;9;Soler Marc;Zakarin Ilnur;Martin Dan;;;;
;Tour de France;2018;20;TIjdrit Individueel;10;Hepburn Michael;Quintana Nairo;Colbrelli Sonny;;;;
;Tour de France;2018;20;TIjdrit Individueel;11;Yates Adam;Jungels Bob;;;;;
;Tour de France;2018;20;TIjdrit Individueel;12;Kung Stefan;Fuglsang Jakob;;;;;
;Tour de France;2018;20;TIjdrit Individueel;13;Caruso Damiano;Latour Pierre;;;;;
;Tour de France;2018;20;TIjdrit Individueel;14;Castrviejo Jonathan;Valverde Alejandro;;;;;
;Tour de France;2018;20;TIjdrit Individueel;15;Izagirre Ion;Bernal Egan;;;;;
;Tour de France;2018;20;TIjdrit Individueel;16;Kruijswijk Steven;Kangert Tanel;;;;;
;Tour de France;2018;20;TIjdrit Individueel;17;Poels Wout;Barguil Warren;;;;;
;Tour de France;2018;20;TIjdrit Individueel;18;Geschke Simon;Pozzovivo Domenico;;;;;
;Tour de France;2018;20;TIjdrit Individueel;19;Valverde Alejandro;Majka Rafal;;;;;
;Tour de France;2018;20;TIjdrit Individueel;20;Politt Nils;Caruso Damiano;;;;;
;Tour de France;2018;21;Vlak;1;Kristoff Alexander;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;;
;Tour de France;2018;21;Vlak;2;Degenkolb John;Dumoulin Tom;Kristoff Alexander;Bernal Egan;Barguil Warren;;
;Tour de France;2018;21;Vlak;3;Demare Arnaud;Froome Chris;Demare Arnaud;Martin Guillaume;Majka Rafal;;
;Tour de France;2018;21;Vlak;4;Boasson Hagen Edwald;Roglic Primoz;Degenkolb John;Gaudu David;Thomas Geraint;;
;Tour de France;2018;21;Vlak;5;Laporte Christophe;Kruijswijk Steven;Alaphilippe Julian;Martinez Daniel Felipe;Dumoulin Tom;;
;Tour de France;2018;21;Vlak;6;Richeze Maximiliano;Bardet Romain;Van Avermaet Greg;;;;
;Tour de France;2018;21;Vlak;7;Colbrelli Sonny;Landa Mikel;Pasqualon Andrea;;;;
;Tour de France;2018;21;Vlak;8;Sagan Peter;Martin Dan;Thomas Geraint;;;;
;Tour de France;2018;21;Vlak;9;Pasqualon Andrea;Zakarin Ilnur;Colbrelli Sonny;;;;
;Tour de France;2018;21;Vlak;10;De Buyst Jasper;Quintana Nairo;Martin Dan;;;;
;Tour de France;2018;21;Vlak;11;Dupont Timothy;Jungels Bob;;;;;
;Tour de France;2018;21;Vlak;12;Boudat Thomas;Fuglsang Jakob;;;;;
;Tour de France;2018;21;Vlak;13;Vanmarcke Sep;Latour Pierre;;;;;
;Tour de France;2018;21;Vlak;14;Cort Magnus;Valverde Alejandro;;;;;
;Tour de France;2018;21;Vlak;15;Naesen Oliver;Bernal Egan;;;;;
;Tour de France;2018;21;Vlak;16;Bennati Daniele;Kangert Tanel;;;;;
;Tour de France;2018;21;Vlak;17;Arndt Nikias;Barguil Warren;;;;;
;Tour de France;2018;21;Vlak;18;Theuns Edward;Pozzovivo Domenico;;;;;
;Tour de France;2018;21;Vlak;19;Hayman Mathew;Majka Rafal;;;;;
;Tour de France;2018;21;Vlak;20;Roosen Timo;Caruso Damiano;;;;;
