Tabel 1
;;;;;;
;ID;Voornaam;Achternaam;Ploeg 2018;Ploeg 2019;Prijs TDF 2019
;93;Gregor;Mühlberger;BORA - hansgrohe;BORA - hansgrohe;750000
;94;Daniel;Oss;BORA - hansgrohe;BORA - hansgrohe;750000
;95;Pawel;Poljański;BORA - hansgrohe;BORA - hansgrohe;
;96;Lukas;Pöstlberger;BORA - hansgrohe;BORA - hansgrohe;750000
;97;Jakob;Fuglsang;Astana Pro Team;Astana Pro Team;3000000
;98;Omar;Fraile;Astana Pro Team;Astana Pro Team;750000
;99;Dmitriy;Gruzdev;Astana Pro Team;Astana Pro Team;500000
;100;Jesper;Hansen;Astana Pro Team;Cofidis, Solutions Crédits;500000
;101;Tanel;Kangert;Astana Pro Team;EF Education First;
;102;Magnus;Cort;Astana Pro Team;Astana Pro Team;1000000
;103;Luis León;Sánchez;Astana Pro Team;Astana Pro Team;750000
;104;Michael;Valgren;Astana Pro Team;Team Dimension Data;750000
;105;Mark;Cavendish;Team Dimension Data;Team Dimension Data;1500000
;106;Edvald;Boasson Hagen;Team Dimension Data;Team Dimension Data;1500000
;107;Reinardt;Janse van Rensburg;Team Dimension Data;Team Dimension Data;750000
;108;Serge;Pauwels;Team Dimension Data;CCC Team;500000
;109;Mark;Renshaw;Team Dimension Data;;
;110;Tom-Jelte;Slagter;Team Dimension Data;;
;111;Jay Robert;Thomson;Team Dimension Data;;
;112;Julien;Vermote;Team Dimension Data;Team Dimension Data;500000
;113;Ilnur;Zakarin;Team Katusha Alpecin;Team Katusha Alpecin;
;114;Ian;Boswell;Team Katusha Alpecin;;
;115;Robert;Kišerlovski;Team Katusha Alpecin;;
;116;Marcel;Kittel;Team Katusha Alpecin;;
;117;Pavel;Kochetkov;Team Katusha Alpecin;Team Katusha Alpecin;500000
;118;Tony;Martin;Team Katusha Alpecin;Team Jumbo-Visma;1000000
;119;Nils;Politt;Team Katusha Alpecin;Team Katusha Alpecin;750000
;120;Rick;Zabel;Team Katusha Alpecin;Team Katusha Alpecin;1000000
;121;Arnaud;Démare;Groupama - FDJ;Groupama - FDJ;
;122;David;Gaudu;Groupama - FDJ;Groupama - FDJ;1000000
;123;Jacopo;Guarnieri;Groupama - FDJ;;
;124;Olivier;Le Gac;Groupama - FDJ;;
;125;Tobias;Ludvigsson;Groupama - FDJ;;
;126;Rudy;Molard;Groupama - FDJ;Groupama - FDJ;750000
;127;Ramon;Sinkeldam;Groupama - FDJ;;
;128;Arthur;Vichot;Groupama - FDJ;;
;129;Steven;Kruijswijk;Team LottoNL-Jumbo;Team Jumbo-Visma;3000000
;130;Robert;Gesink;Team LottoNL-Jumbo;Team Jumbo-Visma;
;131;Dylan;Groenewegen;Team LottoNL-Jumbo;Team Jumbo-Visma;5000000
;132;Amund Grøndahl;Jansen;Team LottoNL-Jumbo;Team Jumbo-Visma;750000
;133;Paul;Martens;Team LottoNL-Jumbo;;
;134;Primož;Roglič ;Team LottoNL-Jumbo;;
;135;Timo;Roosen;Team LottoNL-Jumbo;;
;136;Antwan;Tolhoek;Team LottoNL-Jumbo;;
;137;André;Greipel;Lotto Soudal;Team Arkéa Samsic;1500000
;138;Tiesj;Benoot;Lotto Soudal;Lotto Soudal;750000
;139;Jasper;De Buyst;Lotto Soudal;Lotto Soudal;750000
;140;Thomas;De Gendt;Lotto Soudal;Lotto Soudal;750000
;141;Jens;Keukeleire;Lotto Soudal;Lotto Soudal;500000
;142;Tomasz;Marczyński;Lotto Soudal;;
;143;Marcel;Sieberg;Lotto Soudal;Bahrein Merida;500000
;144;Jelle;Vanendert;Lotto Soudal;;
;145;Lilian;Calmejane;Direct Energie;Team Total Direct Energie;750000
;146;Thomas;Boudat;Direct Energie;;
;147;Sylvain;Chavanel;Direct Energie;;
;148;Jérôme;Cousin;Direct Energie;;
;149;Damien;Gaudin;Direct Energie;Team Total Direct Energie;500000
;150;Fabien;Grellier;Direct Energie;;
;151;Romain;Sicard;Direct Energie;Team Total Direct Energie;500000
;152;Rein;Taaramäe;Direct Energie;Team Total Direct Energie;500000
;153;Bauke;Mollema;Trek-Segafredo;Trek-Segafredo;1000000
;154;Julien;Bernard;Trek-Segafredo;;
;155;Koen;De Kort;Trek-Segafredo;Trek-Segafredo;500000
;156;John;Degenkolb;Trek-Segafredo;Trek-Segafredo;
;157;Michael;Gogl;Trek-Segafredo;Trek-Segafredo;500000
;158;Tsgabu;Grmay;Trek-Segafredo;;
;159;Toms;Skujiņš ;Trek-Segafredo;Trek-Segafredo;500000
